PUMA,year,indicator,value
3153,2023,attendance_rate_high,76.08851846529674
3154,2023,attendance_rate_high,82.94375456537618
3155,2023,attendance_rate_high,72.77056988011168
3156,2023,attendance_rate_high,83.25215436493069
3157,2023,attendance_rate_high,73.90644273650251
3158,2023,attendance_rate_high,77.7243459124623
3159,2023,attendance_rate_high,80.97643097643098
3160,2023,attendance_rate_high,82.25806451612904
3161,2023,attendance_rate_high,72.26950354609929
3162,2023,attendance_rate_high,69.67312915613
3163,2023,attendance_rate_high,64.21918268020474
3164,2023,attendance_rate_high,68.30863121185702
3165,2023,attendance_rate_high,81.25
3166,2023,attendance_rate_high,79.41810344827587
3167,2023,attendance_rate_high,88.12872735456284
3168,2023,attendance_rate_high,70.11680726800779
3151,2023,elementary_percentage,8.761194029850747
3152,2023,elementary_percentage,7.161203522504893
3153,2023,elementary_percentage,3.9467884035917216
3154,2023,elementary_percentage,4.065174844962154
3155,2023,elementary_percentage,4.7307747293451
3156,2023,elementary_percentage,6.036352697161132
3157,2023,elementary_percentage,8.388686456560343
3158,2023,elementary_percentage,7.677339703158968
3159,2023,elementary_percentage,3.543525894505523
3160,2023,elementary_percentage,3.0671260166523826
3161,2023,elementary_percentage,6.201395198423087
3162,2023,elementary_percentage,7.3669135874266685
3163,2023,elementary_percentage,6.479279891304348
3164,2023,elementary_percentage,7.284309921096882
3165,2023,elementary_percentage,7.290508149568551
3166,2023,elementary_percentage,7.82893308100394
3167,2023,elementary_percentage,7.538110377435396
3168,2023,elementary_percentage,8.948633813678496
3151,2023,middle_percentage,3.607675906183369
3152,2023,middle_percentage,3.1548978038704067
3153,2023,middle_percentage,0.7662904657524321
3154,2023,middle_percentage,1.019241198802141
3155,2023,middle_percentage,3.102296505205152
3156,2023,middle_percentage,4.055637359679539
3157,2023,middle_percentage,3.668975009677836
3158,2023,middle_percentage,3.0824767170348104
3159,2023,middle_percentage,1.428398034994474
3160,2023,middle_percentage,0.8780244166841666
3161,2023,middle_percentage,3.646611330982337
3162,2023,middle_percentage,2.8838115454234847
3163,2023,middle_percentage,2.9721467391304346
3164,2023,middle_percentage,3.7427240977881255
3165,2023,middle_percentage,3.08111217641419
3166,2023,middle_percentage,3.243570254087426
3167,2023,middle_percentage,4.114290372544224
3168,2023,middle_percentage,3.622246079869354
3151,2023,high_percentage,5.137171286425017
3152,2023,high_percentage,6.700505544683627
3153,2023,high_percentage,4.202218558842533
3154,2023,high_percentage,1.6140441887335235
3155,2023,high_percentage,3.95682518227779
3156,2023,high_percentage,6.338764071628747
3157,2023,high_percentage,6.475854568245638
3158,2023,high_percentage,8.232239190531148
3159,2023,high_percentage,2.2767489251879724
3160,2023,high_percentage,2.181723243525492
3161,2023,high_percentage,5.428338235520582
3162,2023,high_percentage,7.761647559991568
3163,2023,high_percentage,9.199759140316203
3164,2023,high_percentage,7.41818652179537
3165,2023,high_percentage,6.528859060402685
3166,2023,high_percentage,7.917351782334873
3167,2023,high_percentage,7.244640091301867
3168,2023,high_percentage,9.320611495017616
