PUMA,puma_label,year,indicator,value,cut_name
3522.0,"(Northwest) - Logan Square, Avondale & Hermosa",2013,atten_elementary_w,5320.0,women
3523.0,"(West) - North & South Lawndale, Humboldt Park, East & West Garfield Park",2013,atten_elementary_w,8449.0,women
3524.0,"(West) - West Town, Near West Side & Lower West Side",2013,atten_elementary_w,4392.0,women
3525.0,"(Central) - Near North Side, Loop & Near South Side",2013,atten_elementary_w,1652.0,women
3526.0,"(Southwest) - Brighton Park, New City, Bridgeport & McKinley Park",2013,atten_elementary_w,7077.0,women
3527.0,"(Southwest) - Gage Park, Garfield Ridge & West Lawn",2013,atten_elementary_w,7422.0,women
3528.0,"(South) - Chicago Lawn, Englewood/West Englewood & Greater Grand Crossing",2013,atten_elementary_w,6205.0,women
3529.0,"(South) - South Shore, Hyde Park, Woodlawn, Grand Boulevard & Douglas",2013,atten_elementary_w,7092.0,women
3530.0,"(South) - Ashburn, Washington Heights, Morgan Park & Beverly",2013,atten_elementary_w,4260.0,women
3531.0,"(South) - Auburn Gresham, Roseland, Chatham, Avalon Park & Burnside",2013,atten_elementary_w,4712.0,women
3532.0,"(South) - South Chicago, Pullman, West Pullman, East Side & South Deering",2013,atten_elementary_w,4974.0,women
9999.0,Chicago Area,2013,atten_elementary_w,93653.0,women
3501.0,"(North) - Edgewater, Uptown & Rogers Park",2018,atten_elementary_w,4059.0,women
3502.0,(North) - Lake View & Lincoln Park,2018,atten_elementary_w,3107.0,women
3503.0,"(North) - West Ridge, Lincoln Square & North Center",2018,atten_elementary_w,4273.0,women
3504.0,"(Northwest) - Irving Park, Albany Park, Forest Glen & North Park",2018,atten_elementary_w,4940.0,women
3520.0,"(Northwest) - Portage Park, Dunning & Jefferson Park",2018,atten_elementary_w,4334.0,women
3521.0,"(West) - Austin, Belmont Cragin & Montclare",2018,atten_elementary_w,7873.0,women
3522.0,"(Northwest) - Logan Square, Avondale & Hermosa",2018,atten_elementary_w,4816.0,women
3523.0,"(West) - North & South Lawndale, Humboldt Park, East & West Garfield Park",2018,atten_elementary_w,5933.0,women
3524.0,"(West) - West Town, Near West Side & Lower West Side",2018,atten_elementary_w,2681.0,women
3525.0,"(Central) - Near North Side, Loop & Near South Side",2018,atten_elementary_w,1446.0,women
3526.0,"(Southwest) - Brighton Park, New City, Bridgeport & McKinley Park",2018,atten_elementary_w,7250.0,women
3527.0,"(Southwest) - Gage Park, Garfield Ridge & West Lawn",2018,atten_elementary_w,5708.0,women
3528.0,"(South) - Chicago Lawn, Englewood/West Englewood & Greater Grand Crossing",2018,atten_elementary_w,4570.0,women
3529.0,"(South) - South Shore, Hyde Park, Woodlawn, Grand Boulevard & Douglas",2018,atten_elementary_w,7183.0,women
3530.0,"(South) - Ashburn, Washington Heights, Morgan Park & Beverly",2018,atten_elementary_w,4545.0,women
3531.0,"(South) - Auburn Gresham, Roseland, Chatham, Avalon Park & Burnside",2018,atten_elementary_w,4378.0,women
3532.0,"(South) - South Chicago, Pullman, West Pullman, East Side & South Deering",2018,atten_elementary_w,5289.0,women
9999.0,Chicago Area,2018,atten_elementary_w,82385.0,women
3151.0,"(Northwest) - Albany Park, Norwood Park, Forest Glen, North Park & O'Hare",2023,atten_elementary_w,4602.0,women
3152.0,"(North) - West Ridge, Lincoln Square & North Center",2023,atten_elementary_w,6050.0,women
3153.0,"(North) - Uptown, Edgewater & Rogers Park",2023,atten_elementary_w,2722.0,women
3154.0,(North) - Lake View & Lincoln Park,2023,atten_elementary_w,3120.0,women
3155.0,"(Northwest) - Logan Square, Irving Park & Avondale",2023,atten_elementary_w,4217.0,women
