,id,name,latitude,longitude,student_count,is_high_school,is_middle_school,is_pre_school,is_ele_school,attendance_rate,graduation_rate,add_street,add_state,add_zipcode,puma,neighborhood
19,609991,Theodore Herzl Elementary School,41.862081,-87.718994,441,False,True,True,True,86.9,,3711 W DOUGLAS Blvd,Illinois,60623,,0029
20,400025,CICS - Bucktown,41.922415,-87.681358,523,False,True,False,True,89.8,,2235 N HAMILTON Ave,Illinois,60647,,0022
21,610347,Claremont STEM Magnet Elementary School,41.777511,-87.681061,321,False,True,True,True,91.1,,2300 W 64TH St,Illinois,60636,,0066
22,400165,L.E.A.R.N. - Middle School Campus,41.887413,-87.702704,173,False,True,False,True,86.5,,3021 W CARROLL Ave,Illinois,60612,,0027
23,610230,Wildwood IB World Magnet School,42.007491,-87.778345,515,False,True,True,True,94.0,,6950 N HIAWATHA Ave,Illinois,60646,,0012
24,609804,Mosaic School of Fine Arts,42.003412,-87.697463,757,False,True,True,True,90.0,,6710 N WASHTENAW Ave,Illinois,60645,,0002
25,609726,Gwendolyn Brooks College Preparatory Academy HS,41.692763,-87.616353,984,True,True,False,False,88.1,90.9,250 E 111TH St,Illinois,60628,,0049
26,609857,Grover Cleveland Elementary School,41.952042,-87.706443,510,False,True,True,True,90.6,,3121 W BYRON St,Illinois,60618,,0016
27,609737,Friedrich W von Steuben Metropolitan Science HS,41.973185,-87.713386,1645,True,False,False,False,88.6,97.3,5039 N KIMBALL Ave,Illinois,60625,,0013
28,400126,YCCS-Association House HS,41.901572,-87.70686,92,True,False,False,False,62.5,,1116 N KEDZIE Ave,Illinois,60651-4152,,0023
29,610006,Edward N Hurley Elementary School,41.766785,-87.719541,742,False,True,True,True,91.5,,3849 W 69TH Pl,Illinois,60629,,0065
30,610138,Pulaski International School of Chicago,41.918486,-87.683801,872,False,True,True,True,93.2,,2230 W MCLEAN Ave,Illinois,60647,,0022
31,609799,Alexander Graham Bell Elementary School,41.94953,-87.686018,898,False,True,True,True,94.0,,3730 N OAKLEY Ave,Illinois,60618,,0005
32,610067,Francis M McKay Elementary School,41.768143,-87.691787,642,False,True,True,True,89.6,,6901 S FAIRFIELD Ave,Illinois,60629,,0066
33,610313,Jose De Diego Elementary Community Academy,41.905294,-87.685756,489,False,True,True,True,85.8,,1313 N CLAREMONT Ave,Illinois,60622,,0024
34,400169,Noble - ITW David Speer Academy,41.92563,-87.769808,1111,True,False,False,False,91.0,90.5,5321 W GRAND Ave,Illinois,60639-3009,,0019
35,400077,University of Chicago - Woodlawn,41.77813,-87.598114,575,True,True,False,True,88.0,92.2,6300 S UNIVERSITY Ave,Illinois,60637-2710,,0042
36,400027,CICS - Irving Park,41.950891,-87.710492,460,False,True,False,True,89.1,,3820 N SPAULDING Ave,Illinois,60618,,0016
37,609952,Nathanael Greene Elementary School,41.829669,-87.671492,337,False,False,True,True,91.8,,3525 S HONORE St,Illinois,60609,,0059
38,400130,YCCS-Community Youth Development Institute HS,41.751377,-87.641731,86,True,False,False,False,61.9,,7836 S UNION Ave,Illinois,60620,,0071
39,610200,James N Thorp Elementary School,41.733324,-87.54428,321,False,True,True,True,87.7,,8914 S BUFFALO Ave,Illinois,60617,,0046
40,610053,Marquette Elementary School,41.773881,-87.69703,1056,False,True,True,True,92.5,,6550 S RICHMOND St,Illinois,60629,,0066
41,610182,Hannah G Solomon Elementary School,41.993942,-87.724043,325,False,True,True,True,90.9,,6206 N HAMLIN Ave,Illinois,60659,,0013
42,609817,Lyman A Budlong Elementary School,41.975754,-87.696556,762,False,True,True,True,91.5,,2701 W FOSTER Ave,Illinois,60625,,0004
43,610281,Adam Clayton Powell Paideia Community Academy ES,41.760332,-87.556789,584,False,True,True,True,90.0,,7511 S SOUTH SHORE Dr,Illinois,60649,,0043
44,610257,Morton School of Excellence,41.889178,-87.705108,280,False,True,True,True,89.6,,431 N TROY St,Illinois,60612,,0023
45,610529,Ogden International High School,41.893548,-87.659405,503,True,False,False,False,84.8,92.7,1250 W ERIE St,Illinois,60642,,0024
46,610021,Pablo Casals Elementary School,41.904503,-87.714234,344,False,True,True,True,93.1,,3501 W POTOMAC Ave,Illinois,60651,,0023
47,609904,Edward K Ellington Elementary School,41.88553,-87.766589,543,False,True,True,True,88.3,,243 N PARKSIDE Ave,Illinois,60644,,0025
48,609949,William P Gray Elementary School,41.948764,-87.757116,982,False,True,True,True,90.7,,3730 N LARAMIE Ave,Illinois,60641,,0015
49,609708,Edwin G. Foreman College and Career Academy,41.939797,-87.754167,581,True,False,False,False,73.9,66.7,3235 N LECLAIRE Ave,Illinois,60641,,0015
50,609852,Eliza Chappell Elementary School,41.975894,-87.683264,598,False,True,True,True,92.6,,2135 W FOSTER Ave,Illinois,60625,,0004
51,400114,Acero Charter Schools - Esmeralda Santiago,41.900344,-87.689896,211,False,True,False,True,95.1,,2510 W CORTEZ St,Illinois,60622,,0024
52,610143,William C Reavis Math & Science Specialty ES,41.804174,-87.604925,358,False,True,True,True,87.3,,834 E 50TH St,Illinois,60615,,0039
53,610334,Al Raby High School,41.88621,-87.715423,103,True,False,False,False,73.2,75.8,3545 W FULTON Blvd,Illinois,60624,,0027
54,610153,William H Ryder Math & Science Specialty ES,41.735379,-87.638843,363,False,True,True,True,90.0,,8716 S WALLACE St,Illinois,60620,,0071
55,609798,Hiram H Belding Elementary School,41.958938,-87.73402,613,False,True,True,True,92.1,,4257 N TRIPP Ave,Illinois,60641,,0016
56,609807,Lionel Hampton Fine & Performing Arts ES,41.753457,-87.708731,445,False,True,True,True,89.4,,3434 W 77TH St,Illinois,60652,,0070
57,610597,The Virtual Academy High School,41.8627144,-87.6601387,309,True,False,False,False,,,1326 W 14TH ,Illinois,60608-1410,,0028
58,610101,William B Ogden Elementary School,41.899976,-87.629297,788,False,True,True,True,89.3,,24 W WALTON St,Illinois,60610,,0008
