,id,name,latitude,longitude,student_count,is_high_school,is_middle_school,is_pre_school,is_ele_school,attendance_rate,graduation_rate,add_street,add_state,add_zipcode,status_as_of_2024,year,dropout_rate,num_dropouts,total_students_dropout,adjusted_students,puma,neighborhood
128,609750,SIMPSON HS,41.864365,-87.668722,37.0,True,True,False,True,55.4,,1321 S PAULINA St,Illinois,60608,,2023,11.4,4,36,35,03159,
129,610383,SOCIAL JUSTICE HS,41.833507,-87.735299,263.0,True,False,False,False,81.3,81.3,3120 S KOSTNER Ave,Illinois,60623,,2023,7.4,24,338,326,03163,
130,610543,SOLORIO HS,41.795201,-87.711059,1238.0,True,False,False,False,89.1,90.1,5400 S ST LOUIS Ave,Illinois,60632,,2023,1.2,15,1252,1214,03163,
131,610547,SOUTH SHORE INTL HS,41.758792,-87.576353,589.0,True,False,False,False,81.7,92.9,1955 E 75TH St,Illinois,60649,,2023,4.3,22,546,515,03168,
132,609745,SOUTHSIDE HS,41.759852,-87.675947,371.0,True,False,False,False,83.5,,7342 S HOYNE Ave,Illinois,60636,,2023,1,4,396,392,03165,
133,610357,SPRY HS,41.847762,-87.698946,78.0,True,False,False,False,63.8,70.6,2400 S MARSHALL Blvd,Illinois,60623,,2023,7.7,6,81,78,03163,
134,609732,STEINMETZ HS,41.935634,-87.783515,1052.0,True,False,False,False,75.4,79.0,3030 N MOBILE Ave,Illinois,60634,,2023,3.3,39,1317,1170,03157,
135,609733,SULLIVAN HS,42.002688,-87.669192,719.0,True,False,False,False,75.3,72.2,6631 N BOSWORTH Ave,Illinois,60626,,2023,7.5,57,788,759,03153,
136,609734,TAFT HS,41.982961,-87.791547,4212.0,True,True,False,False,80.6,92.7,6530 W BRYN MAWR Ave,Illinois,60631,,2023,2.6,108,4439,4202,03151,
137,609735,TILDEN HS,41.80751,-87.642966,253.0,True,False,False,False,74.3,57.4,4747 S UNION Ave,Illinois,60609,,2023,7.1,15,245,212,03162,
